Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A
HG00438	35	2	32	0	3	2	31	0	30	0	1	0	37
HG00621	26	3	26	1	0	2	24	1	24	1	0	0	29
HG00673	31	5	29	3	2	2	28	2	27	2	1	0	36
HG00733	30	4	28	3	2	1	28	3	28	3	0	0	34
HG00735	43	1	40	0	3	1	42	0	40	0	2	0	44
HG00741	81	1	80	0	1	1	78	0	78	0	0	0	82
HG01071	45	2	41	0	4	2	41	0	39	0	2	0	47
HG01106	37	1	35	0	2	1	35	0	35	0	0	0	38
HG01109	84	1	83	0	1	1	80	0	80	0	0	0	85
HG01175	31	2	29	1	2	1	29	1	29	1	0	0	33
HG01258	31	3	29	1	2	2	26	1	26	1	0	0	34
HG01358	34	3	32	2	2	1	32	2	32	2	0	0	37
HG01361	33	2	30	0	3	2	27	0	27	0	0	0	35
HG01891	55	2	55	1	0	1	55	1	55	1	0	0	57
HG01928	36	2	34	0	2	2	31	0	31	0	0	0	38
HG01952	34	1	32	0	2	1	32	0	32	0	0	0	35
HG01978	16	1	15	0	1	1	15	0	15	0	0	0	17
HG02055	38	4	35	2	3	2	34	2	33	2	1	0	42
HG02080	36	0	35	0	1	0	35	0	35	0	0	0	36
HG02145	58	1	57	0	1	1	57	0	57	0	0	0	59
HG02148	38	0	37	0	1	0	37	0	37	0	0	0	38
HG02257	47	2	44	0	3	2	46	0	44	0	2	0	49
HG02572	80	1	78	1	2	0	76	1	76	1	0	0	81
HG02622	32	1	30	0	2	1	28	0	28	0	0	0	33
HG02630	55	2	55	1	0	1	54	1	54	1	0	0	57
HG02717	57	4	57	1	0	3	56	1	56	1	0	0	61
HG02723	43	3	40	1	3	2	39	1	38	1	1	0	46
HG02818	40	2	38	1	2	1	38	1	38	1	0	0	42
HG02886	52	3	51	1	1	2	49	2	49	1	0	1	55
HG03098	52	3	51	0	1	3	50	1	50	0	0	1	55
HG03453	50	2	49	0	1	2	48	0	48	0	0	0	52
HG03486	54	4	53	2	1	2	52	2	52	2	0	0	58
HG03492	31	6	31	0	0	6	30	3	30	0	0	3	37
HG03516	53	2	52	0	1	2	51	0	51	0	0	0	55
HG03540	56	2	56	1	0	1	56	1	56	1	0	0	58
HG03579	60	1	58	1	2	0	58	1	58	1	0	0	61
NA18906	81	3	80	2	1	1	77	2	77	2	0	0	84
NA19240	34	2	34	0	0	2	32	0	32	0	0	0	36
NA20129	31	1	30	1	1	0	30	1	30	1	0	0	32
